method,sharpe_base,sharpe_sent,sharpe_delta,ann_return_base,ann_return_sent,ann_return_delta,ann_vol_base,ann_vol_sent,ann_vol_delta,max_drawdown_base,max_drawdown_sent,max_drawdown_delta
Equal-Weight,0.8554427199506555,0.9251833104977786,0.06974059054712312,0.13828162006306932,0.14806018003563143,0.009778559972562106,0.16164918683397742,0.1600333451280809,-0.0016158417058965147,-0.20321862626913567,-0.1836990652406777,0.019519561028457977
Min-Variance,0.6133043446511554,0.3333954514251865,-0.27990889322596885,0.07845320637380383,0.04466136698878238,-0.03379183938502145,0.1279188824570086,0.13395913710839674,0.006040254651388133,-0.18346151279910006,-0.21042837618455146,-0.0269668633854514
Risk-Parity,0.7550033665701336,0.7795157547076844,0.024512388137550856,0.11324013600942838,0.11643400669121014,0.0031938706817817575,0.1499862663180712,0.1493670987251213,-0.0006191675929498874,-0.1956682941158172,-0.18336268697712355,0.012305607138693664
Max-Sharpe,0.7217143174452405,0.5942307197989277,-0.12748359764631279,0.16814902712727275,0.14376592082781592,-0.024383106299456836,0.23298557762092745,0.2419361975706382,0.008950619949710747,-0.3870325635178661,-0.40144580830327403,-0.014413244785407953
