method,ann_return_base,ann_return_sentiment,ann_return_attention,ann_vol_base,ann_vol_sentiment,ann_vol_attention,sharpe_base,sharpe_sentiment,sharpe_attention,max_drawdown_base,max_drawdown_sentiment,max_drawdown_attention
Equal-Weight,0.13828162006306932,0.14806018003563143,0.14093508688570822,0.16164918683397742,0.1600333451280809,0.16177276078400007,0.8554427199506555,0.9251833104977786,0.8711917025010506,-0.20321862626913567,-0.1836990652406777,-0.1953228997902745
Min-Variance,0.07845320637380383,0.04466136698878238,0.07796567337577079,0.1279188824570086,0.13395913710839674,0.1273197542518467,0.6133043446511554,0.3333954514251865,0.6123611676279994,-0.18346151279910006,-0.21042837618455146,-0.19748017781797
Risk-Parity,0.11324013600942838,0.11643400669121014,0.11610572203172953,0.1499862663180712,0.1493670987251213,0.15037661498869118,0.7550033665701336,0.7795157547076844,0.7720995850349542,-0.1956682941158172,-0.18336268697712355,-0.18983426597090725
Max-Sharpe,0.16814902712727275,0.14376592082781592,0.17780978329640065,0.23298557762092745,0.2419361975706382,0.23456666562764003,0.7217143174452405,0.5942307197989277,0.7580351744380533,-0.3870325635178661,-0.40144580830327403,-0.37571996742176783
